PROTEOME_IDS,vfdb,HUMAN_HOMOLOGS,ALGPRED
GPHBMAFA_00145,1,1,1
GPHBMAFA_00146,1,0,0
GPHBMAFA_00147,0,0,0
GPHBMAFA_00148,1,1,1
GPHBMAFA_00149,0,0,0
GPHBMAFA_00150,0,0,0
GPHBMAFA_00151,0,0,0
GPHBMAFA_00152,0,0,0
GPHBMAFA_00153,0,0,0
GPHBMAFA_00158,0,0,0
GPHBMAFA_00159,0,0,0
GPHBMAFA_00160,0,0,0
GPHBMAFA_00161,0,0,0
GPHBMAFA_00162,0,0,0
GPHBMAFA_00163,0,0,0
GPHBMAFA_00164,0,0,0
GPHBMAFA_00165,0,0,0
GPHBMAFA_00166,0,0,0
GPHBMAFA_00167,0,0,0
GPHBMAFA_00168,0,0,0
GPHBMAFA_00169,0,0,0
GPHBMAFA_00170,0,0,0
GPHBMAFA_00171,0,0,0
GPHBMAFA_00172,0,0,0
GPHBMAFA_00173,0,0,0
GPHBMAFA_00174,0,0,0
GPHBMAFA_00175,0,0,0
GPHBMAFA_00176,0,0,0
GPHBMAFA_00177,0,0,0
GPHBMAFA_00178,0,0,0
GPHBMAFA_00179,0,0,0
GPHBMAFA_00180,0,0,0
GPHBMAFA_00181,0,0,0
GPHBMAFA_00182,0,0,0
GPHBMAFA_00183,0,0,0
GPHBMAFA_00184,0,0,0
GPHBMAFA_00185,0,0,0
GPHBMAFA_00186,0,0,0
GPHBMAFA_00187,0,0,0
GPHBMAFA_00188,0,0,0
GPHBMAFA_00189,0,0,0
GPHBMAFA_00190,0,0,0
GPHBMAFA_00191,0,0,0
GPHBMAFA_00192,0,0,0
GPHBMAFA_00193,0,0,0
GPHBMAFA_00194,0,0,0
GPHBMAFA_00195,0,0,0
GPHBMAFA_00196,0,0,0
GPHBMAFA_00197,1,0,0
GPHBMAFA_00198,0,0,0
GPHBMAFA_00199,0,0,0
GPHBMAFA_00200,0,0,0
GPHBMAFA_00201,0,0,0
GPHBMAFA_00207,0,0,0
GPHBMAFA_00208,1,1,1
GPHBMAFA_00209,0,0,0
GPHBMAFA_00214,1,0,0
GPHBMAFA_00215,0,0,0
GPHBMAFA_00216,0,0,0
GPHBMAFA_00217,0,0,0
GPHBMAFA_00218,0,0,0
GPHBMAFA_00219,0,0,0
GPHBMAFA_00220,0,0,0
GPHBMAFA_00221,0,0,0
GPHBMAFA_00222,0,0,0
GPHBMAFA_00223,0,0,0
GPHBMAFA_00224,0,0,0
GPHBMAFA_00225,0,0,0
GPHBMAFA_00226,0,0,0
GPHBMAFA_00227,0,0,0
GPHBMAFA_00228,0,0,0
GPHBMAFA_00229,0,0,0
GPHBMAFA_00230,0,0,0
GPHBMAFA_00231,0,0,0
GPHBMAFA_00232,0,0,0
GPHBMAFA_00233,0,0,0
GPHBMAFA_00234,1,1,1
GPHBMAFA_00235,0,0,0
GPHBMAFA_00236,0,0,0
GPHBMAFA_00237,0,0,0
GPHBMAFA_00238,0,0,0
GPHBMAFA_00239,0,0,0
GPHBMAFA_00240,0,0,0
GPHBMAFA_00241,0,0,0
GPHBMAFA_00242,0,0,0
GPHBMAFA_00243,1,1,1
GPHBMAFA_00244,1,0,0
GPHBMAFA_00245,0,0,0
GPHBMAFA_00246,0,0,0
GPHBMAFA_00251,0,0,0
GPHBMAFA_00252,0,0,0
GPHBMAFA_00253,0,0,0
GPHBMAFA_00254,1,1,1
GPHBMAFA_00255,0,0,0
GPHBMAFA_00256,1,1,1
GPHBMAFA_00257,0,0,0
GPHBMAFA_00258,0,0,0
GPHBMAFA_00259,0,0,0
GPHBMAFA_00260,0,0,0
GPHBMAFA_00261,0,0,0
GPHBMAFA_00262,0,0,0
GPHBMAFA_00263,0,0,0
GPHBMAFA_00264,0,0,0
GPHBMAFA_00265,0,0,0
GPHBMAFA_00266,0,0,0
GPHBMAFA_00267,0,0,0
GPHBMAFA_00268,0,0,0
GPHBMAFA_00269,0,0,0
GPHBMAFA_00270,0,0,0
GPHBMAFA_00271,1,0,0
GPHBMAFA_00272,0,0,0
GPHBMAFA_00273,0,0,0
GPHBMAFA_00274,0,0,0
GPHBMAFA_00275,0,0,0
GPHBMAFA_00276,0,0,0
GPHBMAFA_00277,0,0,0
GPHBMAFA_00278,0,0,0
GPHBMAFA_00279,0,0,0
GPHBMAFA_00280,0,0,0
GPHBMAFA_00281,0,0,0
GPHBMAFA_00282,0,0,0
GPHBMAFA_00283,1,1,1
GPHBMAFA_00284,0,0,0
GPHBMAFA_00285,0,0,0
GPHBMAFA_00286,0,0,0
GPHBMAFA_00287,0,0,0
GPHBMAFA_00288,0,0,0
GPHBMAFA_00289,0,0,0
GPHBMAFA_00290,0,0,0
GPHBMAFA_00291,0,0,0
GPHBMAFA_00292,0,0,0
GPHBMAFA_00293,0,0,0
GPHBMAFA_00294,0,0,0
GPHBMAFA_00295,0,0,0
GPHBMAFA_00296,0,0,0
GPHBMAFA_00297,1,1,1
GPHBMAFA_00298,0,0,0
GPHBMAFA_00299,0,0,0
GPHBMAFA_00300,0,0,0
GPHBMAFA_00301,0,0,0
GPHBMAFA_00302,0,0,0
GPHBMAFA_00303,0,0,0
GPHBMAFA_00304,1,1,1
GPHBMAFA_00305,0,0,0
GPHBMAFA_00306,0,0,0
GPHBMAFA_00307,1,1,1
GPHBMAFA_00308,0,0,0
GPHBMAFA_00309,0,0,0
GPHBMAFA_00310,0,0,0
GPHBMAFA_00311,0,0,0
GPHBMAFA_00312,0,0,0
GPHBMAFA_00313,0,0,0
GPHBMAFA_00314,0,0,0
GPHBMAFA_00315,1,0,0
GPHBMAFA_00316,0,0,0
GPHBMAFA_00317,0,0,0
GPHBMAFA_00318,0,0,0
GPHBMAFA_00319,0,0,0
GPHBMAFA_00320,0,0,0
GPHBMAFA_00321,0,0,0
GPHBMAFA_00322,0,0,0
GPHBMAFA_00323,0,0,0
GPHBMAFA_00324,1,1,1
GPHBMAFA_00325,0,0,0
GPHBMAFA_00326,0,0,0
GPHBMAFA_00327,0,0,0
GPHBMAFA_00328,0,0,0
GPHBMAFA_00329,0,0,0
GPHBMAFA_00330,1,1,0
GPHBMAFA_00331,1,1,1
GPHBMAFA_00332,0,0,0
GPHBMAFA_00333,0,0,0
GPHBMAFA_00334,0,0,0
GPHBMAFA_00335,0,0,0
GPHBMAFA_00336,0,0,0
GPHBMAFA_00337,0,0,0
GPHBMAFA_00338,0,0,0
GPHBMAFA_00339,0,0,0
GPHBMAFA_00340,0,0,0
GPHBMAFA_00341,1,1,1
GPHBMAFA_00342,0,0,0
GPHBMAFA_00343,0,0,0
GPHBMAFA_00344,0,0,0
GPHBMAFA_00345,0,0,0
GPHBMAFA_00346,0,0,0
GPHBMAFA_00347,1,0,0
GPHBMAFA_00348,0,0,0
GPHBMAFA_00349,0,0,0
GPHBMAFA_00350,0,0,0
GPHBMAFA_00351,0,0,0
GPHBMAFA_00352,0,0,0
GPHBMAFA_00353,1,0,0
GPHBMAFA_00354,0,0,0
GPHBMAFA_00355,0,0,0
GPHBMAFA_00356,0,0,0
GPHBMAFA_00357,0,0,0
GPHBMAFA_00358,0,0,0
GPHBMAFA_00359,0,0,0
GPHBMAFA_00360,0,0,0
GPHBMAFA_00361,0,0,0
GPHBMAFA_00362,0,0,0
GPHBMAFA_00363,0,0,0
GPHBMAFA_00364,0,0,0
GPHBMAFA_00365,0,0,0
GPHBMAFA_00366,0,0,0
GPHBMAFA_00367,0,0,0
GPHBMAFA_00368,0,0,0
GPHBMAFA_00369,0,0,0
GPHBMAFA_00370,0,0,0
GPHBMAFA_00371,0,0,0
GPHBMAFA_00372,0,0,0
GPHBMAFA_00373,0,0,0
GPHBMAFA_00374,0,0,0
GPHBMAFA_00375,1,1,1
GPHBMAFA_00376,1,1,1
GPHBMAFA_00377,0,0,0
GPHBMAFA_00378,0,0,0
GPHBMAFA_00379,0,0,0
GPHBMAFA_00381,0,0,0
GPHBMAFA_00382,0,0,0
GPHBMAFA_00383,0,0,0
GPHBMAFA_00384,0,0,0
GPHBMAFA_00385,0,0,0
GPHBMAFA_00386,0,0,0
GPHBMAFA_00387,0,0,0
GPHBMAFA_00388,0,0,0
GPHBMAFA_00389,0,0,0
GPHBMAFA_00390,1,0,0
GPHBMAFA_00391,0,0,0
GPHBMAFA_00392,0,0,0
GPHBMAFA_00393,0,0,0
GPHBMAFA_00394,0,0,0
GPHBMAFA_00395,0,0,0
GPHBMAFA_00396,0,0,0
GPHBMAFA_00397,0,0,0
GPHBMAFA_00398,1,1,0
GPHBMAFA_00399,1,1,1
GPHBMAFA_00400,0,0,0
GPHBMAFA_00401,1,1,1
GPHBMAFA_00402,0,0,0
GPHBMAFA_00403,0,0,0
GPHBMAFA_00404,0,0,0
GPHBMAFA_00405,0,0,0
GPHBMAFA_00406,0,0,0
GPHBMAFA_00407,0,0,0
GPHBMAFA_00408,0,0,0
GPHBMAFA_00409,0,0,0
GPHBMAFA_00410,0,0,0
GPHBMAFA_00411,0,0,0
GPHBMAFA_00412,0,0,0
GPHBMAFA_00413,0,0,0
GPHBMAFA_00414,0,0,0
GPHBMAFA_00415,0,0,0
GPHBMAFA_00416,0,0,0
GPHBMAFA_00417,0,0,0
GPHBMAFA_00418,0,0,0
GPHBMAFA_00422,0,0,0
GPHBMAFA_00423,0,0,0
GPHBMAFA_00424,0,0,0
GPHBMAFA_00425,0,0,0
GPHBMAFA_00426,0,0,0
GPHBMAFA_00427,0,0,0
GPHBMAFA_00428,0,0,0
GPHBMAFA_00429,0,0,0
GPHBMAFA_00430,0,0,0
GPHBMAFA_00431,0,0,0
GPHBMAFA_00432,0,0,0
GPHBMAFA_00433,0,0,0
GPHBMAFA_00434,0,0,0
GPHBMAFA_00435,0,0,0
GPHBMAFA_00436,0,0,0
GPHBMAFA_00437,0,0,0
GPHBMAFA_00438,0,0,0
GPHBMAFA_00439,0,0,0
GPHBMAFA_00440,0,0,0
GPHBMAFA_00441,0,0,0
GPHBMAFA_00442,0,0,0
GPHBMAFA_00443,0,0,0
GPHBMAFA_00444,0,0,0
GPHBMAFA_00445,0,0,0
GPHBMAFA_00446,0,0,0
GPHBMAFA_00447,0,0,0
GPHBMAFA_00448,0,0,0
GPHBMAFA_00449,0,0,0
GPHBMAFA_00450,0,0,0
GPHBMAFA_00451,0,0,0
GPHBMAFA_00452,0,0,0
GPHBMAFA_00453,0,0,0
GPHBMAFA_00454,0,0,0
GPHBMAFA_00455,0,0,0
GPHBMAFA_00456,0,0,0
GPHBMAFA_00457,0,0,0
GPHBMAFA_00458,1,0,0
GPHBMAFA_00459,0,0,0
GPHBMAFA_00460,0,0,0
GPHBMAFA_00461,0,0,0
GPHBMAFA_00462,0,0,0
GPHBMAFA_00463,0,0,0
GPHBMAFA_00464,0,0,0
GPHBMAFA_00465,0,0,0
GPHBMAFA_00466,0,0,0
GPHBMAFA_00467,0,0,0
GPHBMAFA_00468,0,0,0
GPHBMAFA_00469,0,0,0
GPHBMAFA_00470,1,0,0
GPHBMAFA_00471,0,0,0
GPHBMAFA_00472,0,0,0
GPHBMAFA_00473,0,0,0
GPHBMAFA_00474,0,0,0
GPHBMAFA_00475,0,0,0
GPHBMAFA_00476,0,0,0
GPHBMAFA_00477,0,0,0
GPHBMAFA_00478,1,0,0
GPHBMAFA_00479,0,0,0
GPHBMAFA_00480,0,0,0
GPHBMAFA_00481,0,0,0
GPHBMAFA_00482,0,0,0
GPHBMAFA_00483,0,0,0
GPHBMAFA_00484,0,0,0
GPHBMAFA_00485,1,1,1
GPHBMAFA_00486,0,0,0
GPHBMAFA_00487,0,0,0
GPHBMAFA_00488,0,0,0
GPHBMAFA_00489,0,0,0
GPHBMAFA_00490,0,0,0
GPHBMAFA_00491,0,0,0
GPHBMAFA_00492,0,0,0
GPHBMAFA_00493,1,1,1
GPHBMAFA_00494,0,0,0
GPHBMAFA_00495,0,0,0
GPHBMAFA_00496,0,0,0
GPHBMAFA_00497,0,0,0
GPHBMAFA_00498,0,0,0
GPHBMAFA_00499,0,0,0
GPHBMAFA_00500,0,0,0
GPHBMAFA_00501,0,0,0
GPHBMAFA_00502,0,0,0
GPHBMAFA_00503,0,0,0
GPHBMAFA_00504,0,0,0
GPHBMAFA_00505,0,0,0
GPHBMAFA_00506,0,0,0
GPHBMAFA_00507,0,0,0
GPHBMAFA_00508,0,0,0
GPHBMAFA_00509,1,1,1
GPHBMAFA_00510,0,0,0
GPHBMAFA_00511,0,0,0
GPHBMAFA_00512,1,0,0
GPHBMAFA_00513,0,0,0
GPHBMAFA_00514,0,0,0
GPHBMAFA_00515,0,0,0
GPHBMAFA_00516,0,0,0
GPHBMAFA_00517,0,0,0
GPHBMAFA_00518,0,0,0
GPHBMAFA_00519,0,0,0
GPHBMAFA_00520,0,0,0
GPHBMAFA_00521,0,0,0
GPHBMAFA_00522,0,0,0
GPHBMAFA_00523,0,0,0
GPHBMAFA_00524,0,0,0
GPHBMAFA_00525,0,0,0
GPHBMAFA_00526,0,0,0
GPHBMAFA_00527,0,0,0
GPHBMAFA_00528,0,0,0
GPHBMAFA_00529,0,0,0
GPHBMAFA_00530,0,0,0
GPHBMAFA_00531,0,0,0
GPHBMAFA_00532,0,0,0
GPHBMAFA_00533,0,0,0
GPHBMAFA_00534,0,0,0
GPHBMAFA_00535,0,0,0
GPHBMAFA_00536,0,0,0
GPHBMAFA_00537,0,0,0
GPHBMAFA_00538,0,0,0
GPHBMAFA_00539,1,0,0
GPHBMAFA_00540,0,0,0
GPHBMAFA_00541,0,0,0
GPHBMAFA_00542,0,0,0
GPHBMAFA_00543,0,0,0
GPHBMAFA_00544,0,0,0
GPHBMAFA_00545,0,0,0
GPHBMAFA_00547,0,0,0
GPHBMAFA_00548,0,0,0
GPHBMAFA_00549,0,0,0
GPHBMAFA_00550,0,0,0
GPHBMAFA_00551,0,0,0
